,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,Khatanga,71.9667,102.5,16.27,93,80,3.31,RU,1619886554
134,Margate,51.3813,1.3862,52.0,53,3,4.0,GB,1619886506
135,Gigmoto,13.7796,124.39,78.12,79,30,4.14,PH,1619886529
136,Saint-Philippe,-21.3585,55.7679,77.0,78,0,4.61,RE,1619886309
137,Varberg,57.1056,12.2508,53.6,43,35,3.44,SE,1619886555
138,Belmonte,-15.8631,-38.8828,77.0,65,75,6.91,BR,1619886555
139,Bereda,43.2686,-7.5406,55.99,58,98,10.0,ES,1619886556
140,Tiksi,71.6872,128.8694,20.25,99,94,2.93,RU,1619886556
141,Bambous Virieux,-20.3428,57.7575,75.99,88,40,3.44,MU,1619886436
142,Saint Paul Harbor,57.79,-152.4072,35.6,87,40,4.61,US,1619886556
143,Road Town,18.4167,-64.6167,82.99,69,40,8.05,VG,1619886557
144,Hong Kong,22.2855,114.1577,80.01,80,80,6.53,HK,1619886557
145,Fortuna,40.5982,-124.1573,55.0,100,90,10.36,US,1619886451
146,Broome,42.2506,-75.833,46.0,65,20,9.22,US,1619886558
147,Žemaičių Naumiestis,55.3592,21.7022,49.89,55,68,7.72,LT,1619886558
148,Baharly,38.4362,57.4316,78.98,35,1,12.53,TM,1619886261
149,San Patricio,28.017,-97.5169,71.6,100,75,14.97,US,1619886558
150,Hohhot,40.8106,111.6522,44.6,31,0,2.24,CN,1619886559
151,Chunoyar,57.4467,97.3217,33.15,94,73,2.17,RU,1619886559
152,Lodja,-3.4833,23.4333,76.46,80,100,1.74,CD,1619886559
153,Vacaria,-28.5122,-50.9339,75.0,14,0,3.0,BR,1619886560
154,Dekar,-21.5333,21.9333,71.47,24,0,7.09,BW,1619886560
155,Rozsypne,48.1497,38.5762,61.29,74,99,5.95,UA,1619886560
156,Methóni,36.8197,21.7049,79.0,31,0,11.16,GR,1619886561
157,Lompoc,34.6391,-120.4579,53.6,100,90,9.22,US,1619886561
158,Tucumcari,35.1717,-103.725,71.6,30,1,13.8,US,1619886562
159,Semey,50.4111,80.2275,41.0,42,0,6.71,KZ,1619886562
160,Kismayo,-0.3582,42.5454,82.62,79,17,10.69,SO,1619886562
161,Mahébourg,-20.4081,57.7,75.2,88,40,3.44,MU,1619886521
162,Winnemucca,40.973,-117.7357,68.0,13,1,10.36,US,1619886535
163,Lauria,40.0465,15.8358,64.72,79,98,5.3,IT,1619886563
164,Sitka,57.0531,-135.33,42.8,87,40,4.61,US,1619886563
165,Port Hardy,50.6996,-127.4199,48.2,76,75,6.91,CA,1619886563
166,Cidreira,-30.1811,-50.2056,71.73,56,0,13.22,BR,1619886538
167,Kaitong,44.8135,123.15,48.58,41,30,5.95,CN,1619886564
168,Olinda,-8.0089,-34.8553,82.4,65,40,16.11,BR,1619886564
169,Grindavik,63.8424,-22.4338,42.8,52,40,18.41,IS,1619886533
170,Castro,-24.7911,-50.0119,72.01,54,50,4.09,BR,1619886565
171,Altamira,-3.2033,-52.2064,75.2,94,40,5.75,BR,1619886565
172,Syracuse,37.0881,15.2792,75.2,50,0,4.61,IT,1619886565
173,Geraldton,-28.7667,114.6,59.0,58,100,10.36,AU,1619886433
174,Chekhov,55.1431,37.4711,52.0,30,0,11.18,RU,1619886566
175,Samfya,-11.3649,29.5565,73.99,66,82,2.53,ZM,1619886483
176,Uusikaupunki,60.8004,21.4084,41.0,36,0,9.22,FI,1619886566
177,Lima,-12.0432,-77.0282,71.01,88,75,9.22,PE,1619886485
178,Reconquista,-29.15,-59.65,78.57,40,0,10.98,AR,1619886567
179,Shemonaīkha,50.6328,81.9056,41.45,44,75,7.29,KZ,1619886567
180,Genhe,50.7833,121.5167,37.09,57,4,2.84,CN,1619886567
181,Villa Bruzual,9.3328,-69.1208,89.08,52,64,2.62,VE,1619886568
182,Clyde River,70.4692,-68.5914,17.6,100,75,2.21,CA,1619886568
183,Nome,64.5011,-165.4064,21.2,79,90,5.75,US,1619886568
184,Maniitsoq,65.4167,-52.9,35.02,80,8,2.39,GL,1619886569
185,Isangel,-19.55,169.2667,75.2,94,90,5.75,VU,1619886569
186,Naze,28.3667,129.4833,62.76,64,96,11.97,JP,1619886569
187,Kargopol',61.5071,38.9456,35.67,45,100,9.51,RU,1619886570
188,Mandan,46.8267,-100.8896,78.8,27,1,17.27,US,1619886570
189,Burnie,-41.0667,145.9167,54.0,93,100,4.0,AU,1619886570
190,Bethel,41.3712,-73.414,57.0,44,1,11.5,US,1619886549
191,Aklavik,68.2191,-135.0107,23.0,86,90,9.22,CA,1619886571
192,Schladming,47.3929,13.687,60.01,73,69,8.01,AT,1619886571
193,Aasiaat,68.7098,-52.8699,33.42,75,35,10.56,GL,1619886572
194,Faro,37.0194,-7.9322,66.2,48,0,17.27,PT,1619886572
195,Kruisfontein,-34.0033,24.7314,59.0,72,0,1.99,ZA,1619886573
196,Havøysund,70.9963,24.6622,32.0,80,75,8.05,NO,1619886574
197,Shumyachi,53.8583,32.4242,49.53,67,90,1.88,RU,1619886574
198,Jumla,29.2747,82.1838,51.96,84,74,2.62,NP,1619886574
199,Buhe,30.2876,112.2298,73.99,69,0,4.41,CN,1619886575
200,Xining,36.6167,101.7667,55.42,37,80,2.39,CN,1619886575
201,Honiara,-9.4333,159.95,76.55,87,84,3.02,SB,1619886303
202,Beloha,-25.1667,45.05,73.0,69,99,9.71,MG,1619886575
203,Cabo San Lucas,22.8909,-109.9124,79.0,73,1,8.05,MX,1619886576
204,Kyabé,9.4515,18.9449,93.6,30,90,4.34,TD,1619886576
205,Mikhaylovka,50.06,43.2379,64.0,65,69,4.0,RU,1619886576
206,Araceli,10.5529,119.9913,83.55,71,9,7.65,PH,1619886577
207,Moengo,5.6167,-54.4,84.61,72,90,3.83,SR,1619886577
208,Flin Flon,54.7682,-101.865,46.4,66,40,9.22,CA,1619886577
209,Vestmannaeyjar,63.4427,-20.2734,35.6,87,75,13.8,IS,1619886578
210,Salalah,17.0151,54.0924,86.0,74,75,8.05,OM,1619886578
211,Tasiilaq,65.6145,-37.6368,28.4,93,20,6.91,GL,1619886469
212,Port Moresby,-9.4431,147.1797,77.0,88,20,5.75,PG,1619886375
213,Dikson,73.5069,80.5464,26.19,85,97,5.66,RU,1619886578
214,Minudasht,37.2289,55.3747,68.0,73,20,9.22,IR,1619886579
215,Bosobolo,4.1833,19.9,86.54,54,84,3.53,CD,1619886579
216,Grand-Lahou,5.1367,-5.0242,85.84,68,64,11.52,CI,1619886579
217,Batticaloa,7.7102,81.6924,82.29,79,100,12.73,LK,1619886580
218,Guerrero Negro,27.9769,-114.0611,69.62,59,7,7.58,MX,1619886580
219,Harper,4.375,-7.7169,84.67,71,92,11.23,LR,1619886543
220,Acaraú,-2.8856,-40.12,81.88,75,99,6.31,BR,1619886581
221,Shimoda,34.6667,138.95,63.0,83,89,5.01,JP,1619886581
222,Takoradze,4.8845,-1.7554,85.86,69,100,13.8,GH,1619886581
223,Hambantota,6.1241,81.1185,80.6,100,75,3.44,LK,1619886582
224,Dunedin,-45.8742,170.5036,46.99,73,0,1.99,NZ,1619886526
225,Arrondissement de Bernay,49.1667,0.6667,48.0,84,89,1.99,FR,1619886582
226,Mackay,-21.15,149.2,68.0,88,32,10.36,AU,1619886582
227,Portland,45.5234,-122.6762,55.0,66,40,13.8,US,1619886440
228,Airai,-8.9266,125.4092,57.16,89,98,3.06,TL,1619886583
229,Bengkulu,-3.8004,102.2655,77.04,90,77,4.38,ID,1619886583
230,Superior,46.7208,-92.1041,68.0,32,1,12.66,US,1619886559
231,Gimli,50.6336,-96.9907,35.6,93,91,3.44,CA,1619886584
232,Carnarvon,-24.8667,113.6333,68.0,73,100,11.5,AU,1619886456
233,Urengoy,65.9667,78.3667,30.63,91,100,8.34,RU,1619886584
234,Bathsheba,13.2167,-59.5167,86.0,51,20,20.71,BB,1619886584
235,Oyem,1.5995,11.5793,87.8,62,75,2.91,GA,1619886585
236,Biu,10.6129,12.1946,95.18,20,99,3.67,NG,1619886585
237,Bima,-8.4667,118.7167,75.94,91,44,1.72,ID,1619886585
238,Mezen',65.8522,44.24,30.47,79,100,13.51,RU,1619886586
239,Aykhal,66.0,111.5,30.27,98,100,5.61,RU,1619886586
240,Port Blair,11.6667,92.75,84.0,72,85,5.17,IN,1619886586
241,Richards Bay,-28.783,32.0377,64.29,83,32,7.9,ZA,1619886489
242,Mossamedes,-15.1961,12.1522,77.0,73,20,25.32,AO,1619886587
243,Sittwe,20.15,92.9,82.98,71,2,4.18,MM,1619886587
244,Malanje,-9.5402,16.341,68.58,87,92,7.11,AO,1619886587
245,Laas,46.6166,10.7002,55.99,87,40,11.5,IT,1619886537
246,La Maddalena,41.2142,9.4083,68.0,94,75,17.27,IT,1619886588
247,Palmer,42.1584,-72.3287,54.0,46,20,13.8,US,1619886588
248,Bumba,2.1833,22.4667,74.5,83,100,1.81,CD,1619886589
249,Haines Junction,60.7522,-137.5108,35.6,69,100,3.44,CA,1619886589
250,Henties Bay,-22.116,14.2845,63.0,85,0,3.0,NA,1619886589
251,San Policarpo,12.1791,125.5072,80.89,80,7,7.85,PH,1619886590
252,Lüderitz,-26.6481,15.1594,69.28,48,0,8.08,NA,1619886590
253,Mount Isa,-20.7333,139.5,66.2,48,0,4.61,AU,1619886522
254,Oktyabr'skoye,43.0645,44.7417,57.2,88,90,11.18,RU,1619886590
255,Teahupoo,-17.8333,-149.2667,77.0,83,40,5.75,PF,1619886591
256,Ponferrada,42.5466,-6.5962,60.01,33,65,5.01,ES,1619886591
257,Los Llanos de Aridane,28.6585,-17.9182,71.6,60,40,12.66,ES,1619886591
258,Vostok,46.4856,135.8833,32.2,82,0,2.62,RU,1619886592
259,Dudinka,69.4058,86.1778,24.66,91,70,5.86,RU,1619886440
260,Rāpar,23.5667,70.6333,90.39,34,85,9.8,IN,1619886592
261,Benguela,-12.5763,13.4055,82.51,77,99,6.89,AO,1619886592
262,Kaeo,-35.1,173.7833,48.99,93,22,6.33,NZ,1619886593
263,Alice Springs,-23.7,133.8833,57.2,47,34,4.61,AU,1619886549
264,San Cristobal,7.7669,-72.225,82.4,65,40,9.22,VE,1619886593
265,Hualmay,-11.0964,-77.6139,71.82,74,84,9.57,PE,1619886594
266,Chokurdakh,70.6333,147.9167,-0.81,100,44,3.33,RU,1619886594
267,Lagoa,39.05,-27.9833,59.16,91,100,21.25,PT,1619886455
268,Zapolyarnyy,69.4154,30.8136,32.0,69,88,8.05,RU,1619886594
269,Wajir,1.7471,40.0573,95.0,41,40,6.4,KE,1619886595
270,Przasnysz,53.0191,20.8803,51.8,58,0,3.44,PL,1619886595
271,Port Elizabeth,-33.918,25.5701,59.0,82,0,8.05,ZA,1619886595
272,Wanning,18.8003,110.3967,78.75,88,20,5.66,CN,1619886596
273,Avanigadda,16.0215,80.9181,83.88,73,2,8.28,IN,1619886426
274,Christchurch,-43.5333,172.6333,42.01,100,90,2.82,NZ,1619886596
275,Krasnosel'kup,65.7,82.4667,33.1,91,100,9.6,RU,1619886597
276,Paita,-5.0892,-81.1144,84.2,54,40,18.41,PE,1619886597
277,Burhaniye,39.5004,26.9727,75.2,57,0,6.91,TR,1619886597
278,Qasigiannguit,68.8193,-51.1922,39.2,48,20,5.75,GL,1619886597
279,Arrondissement d'Ajaccio,42.0,8.9167,60.8,88,90,2.3,FR,1619886598
280,Neturhāt,23.4833,84.2667,76.39,18,42,2.28,IN,1619886598
281,Jalu,29.0331,21.5482,103.73,6,0,12.35,LY,1619886598
282,Qaqortoq,60.7167,-46.0333,50.0,22,1,34.52,GL,1619886551
283,Kamaishi,39.2667,141.8833,49.59,94,100,9.4,JP,1619886599
284,Kerrobert,51.9168,-109.1348,53.6,50,90,14.97,CA,1619886599
285,Praia da Vitória,38.7333,-27.0667,60.8,88,75,17.38,PT,1619886600
286,Carutapera,-1.195,-46.02,84.99,64,80,4.23,BR,1619886600
287,Itarema,-2.9248,-39.9167,83.57,71,100,5.7,BR,1619886600
288,Cherskiy,68.75,161.3,-2.54,99,30,2.82,RU,1619886600
289,Mastic Beach,40.7668,-72.8521,57.99,41,1,18.41,US,1619886601
290,Charters Towers,-20.1,146.2667,64.98,84,54,7.02,AU,1619886601
291,Hyères,43.1167,6.1167,57.2,100,90,6.91,FR,1619886602
292,Gushikawa,26.3544,127.8686,73.4,88,40,8.05,JP,1619886604
293,Alofi,-19.0595,-169.9187,73.4,100,21,1.14,NU,1619886526
294,Ulaangom,49.9811,92.0667,45.59,37,99,16.11,MN,1619886604
295,Polohy,47.4844,36.2536,62.2,73,29,3.91,UA,1619886605
296,Scarborough,54.2797,-0.4044,48.99,68,41,4.0,GB,1619886605
297,Johnstown,40.3267,-78.922,52.0,42,1,4.61,US,1619886347
298,Lander,42.833,-108.7307,68.0,42,1,8.41,US,1619886458
299,Talcahuano,-36.7167,-73.1167,57.2,88,90,16.11,CL,1619886608
300,Khovu-Aksy,51.1333,93.6,33.26,89,100,5.44,RU,1619886609
301,Chippewa Falls,44.9369,-91.3929,73.99,28,1,14.97,US,1619886610
302,Nador,35.174,-2.9287,64.4,48,0,16.11,MA,1619886610
303,Narsaq,60.9167,-46.05,50.0,22,1,34.52,GL,1619886574
304,Nānākuli,21.3906,-158.1547,75.0,94,75,13.91,US,1619886611
305,Nouadhibou,20.931,-17.0347,73.4,64,4,23.02,MR,1619886611
306,Katsuura,35.1333,140.3,64.4,88,75,11.5,JP,1619886611
307,Rudno,51.7483,22.9461,54.0,82,90,8.05,PL,1619886612
308,Isabela,6.7085,121.9711,80.6,94,90,2.3,PH,1619886499
309,Sørland,67.667,12.6934,37.44,61,100,18.37,NO,1619886593
310,Dejen,10.1667,38.1333,60.93,70,57,5.37,ET,1619886612
311,Mēga,4.05,38.3,61.18,85,78,7.56,ET,1619886613
312,Saint-Pierre,-21.3393,55.4781,77.0,78,0,4.61,RE,1619886613
313,Nakasongola,1.3089,32.4564,71.35,77,96,2.84,UG,1619886613
314,Hurricane,37.1753,-113.2899,78.01,26,1,4.61,US,1619886614
315,Seoul,37.5683,126.9778,46.4,93,90,5.75,KR,1619886614
316,Kaseda-shirakame,31.4167,130.3167,53.01,71,6,11.01,JP,1619886614
317,Los Andes,-32.8337,-70.5983,66.0,63,75,6.91,CL,1619886615
318,Ada,43.4166,-116.1262,62.01,51,1,9.22,US,1619886615
319,Birmingham,33.5207,-86.8025,75.99,35,20,10.36,US,1619886545
320,Mathbaria,22.2876,89.9593,79.57,79,1,3.78,BD,1619886615
321,Sur,22.5667,59.5289,84.63,50,45,11.52,OM,1619886616
322,Lorengau,-2.0226,147.2712,79.83,81,72,2.8,PG,1619886616
323,West Wendover,40.7391,-114.0733,66.2,32,1,3.44,US,1619886616
324,Ostrovnoy,68.0531,39.5131,25.92,71,100,12.53,RU,1619886617
325,Aksay,47.26,39.87,64.0,59,0,11.18,RU,1619886617
326,Leningradskiy,69.3833,178.4167,14.43,89,100,20.74,RU,1619886517
327,Kashgar,39.4547,75.9797,75.2,14,40,13.42,CN,1619886617
328,Sangmélima,2.9333,11.9833,75.6,82,91,3.31,CM,1619886618
329,Waitati,-45.75,170.5667,46.99,73,0,1.99,NZ,1619886619
330,Atambua,-9.1061,124.8925,70.93,86,90,5.08,ID,1619886619
331,Kavaratti,10.5669,72.642,85.6,71,9,6.89,IN,1619886619
332,Lékoni,-1.5843,14.2591,76.35,74,100,4.32,GA,1619886620
333,Inzer,54.2167,57.5556,53.58,49,99,11.7,RU,1619886620
334,Cacequi,-29.8836,-54.825,81.36,32,0,5.5,BR,1619886620
335,Sankheda,22.1667,73.5833,90.36,29,98,4.59,IN,1619886621
336,Laguna,38.421,-121.4238,64.0,67,1,6.91,US,1619886463
337,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,84.0,51,0,1.99,AR,1619886621
338,Ketchikan,55.3422,-131.6461,46.4,93,90,6.91,US,1619886622
339,Rincon,32.296,-81.2354,78.01,46,20,16.11,US,1619886622
340,Port Lincoln,-34.7333,135.8667,61.48,69,16,15.32,AU,1619886623
341,Newport,51.5877,-2.9984,53.01,74,42,3.56,GB,1619886610
342,The Valley,18.217,-63.0578,86.0,69,40,16.11,AI,1619886374
343,Nālūt,30.3333,10.85,94.06,11,97,8.99,LY,1619886623
344,Half Moon Bay,37.4636,-122.4286,62.01,100,90,10.36,US,1619886623
345,Kieta,-6.2167,155.6333,77.99,82,23,3.2,PG,1619886624
346,Kvitok,56.0724,98.4813,33.24,96,100,2.08,RU,1619886624
347,Pierre,44.3683,-100.351,80.01,43,1,8.05,US,1619886625
348,Ambon City,-3.6954,128.1814,81.28,78,41,5.37,ID,1619886625
349,Waingapu,-9.6567,120.2641,77.94,82,32,6.29,ID,1619886625
350,Saint-Leu,-21.15,55.2833,77.0,78,0,4.61,RE,1619886626
351,Jacareacanga,-6.2222,-57.7528,90.43,50,55,3.53,BR,1619886626
352,Constitución,-35.3333,-72.4167,54.82,95,100,8.46,CL,1619886507
353,Bollnäs,61.3482,16.3946,46.99,37,99,4.0,SE,1619886627
354,Snåase,64.2457,12.3778,38.68,63,99,7.2,NO,1619886627
355,Ntcheu,-14.8203,34.6359,63.37,95,28,3.2,MW,1619886627
356,Pandan,14.0453,124.1694,77.29,81,22,6.49,PH,1619886481
